C1, 10.73, 11.70, 90.00, 10u, C0805
C2, 8.29, 11.70, 90.00, 0.1u, C0805
R1, 4.45, 5.71, 180.00, 10k, R0603
R2, 8.26, 6.35, 180.00, 10k, R0603
R4, 5.08, 14.61, 0.00, 110k, R0603
R5, 2.54, 14.61, 90.00, 180k, R0603
U$1, 4.45, 10.79, 0.00, MCP3421A0T-E/CH, SOT95P280X145-6N
